"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"LRT00E300","lake rotorangi l2 (tangahoe valley rd)","trc-00053","7506","Stratified","Dam","taranaki","trc","patea",-39.5019070947025,174.510329558029,"14-Aug-2020"
"LRT00E450","lake rotorangi l3 (dam)","trc-00051","7506","Stratified","Dam","taranaki","trc","patea",-39.5413037074268,174.570438048228,"14-Aug-2020"
"LRT00S450","lake rotorangi l3 (dam)","trc-00051","7506","Stratified","Dam","taranaki","trc","patea",-39.4357754228822,174.478631971074,"14-Aug-2020"
"L Brunner @ GYB Cashmere Bay - 4m","lake brunner gybc","wcrc-00065","38974","Stratified","Glacial","west coast","wcrc","unstated",-42.61164694,171.50053514,"14-Aug-2020"
"L Brunner @ GYB Mid Lake - 0-25m tube","l brunner @ gyb mid lake - 0-25m tube","wcrc-00064","38974","Stratified","Glacial","west coast","wcrc","grey river",-42.62223607,171.45437105,"14-Aug-2020"
"L. Haupiri @ H2 5m","lake haupiri","wcrc-00067","39225","Stratified","Glacial","west coast","wcrc","grey river",-42.56671108,171.68936589,"14-Aug-2020"
"37164","lake maratoto at centre (surface)","ew-00143","14422","Stratified","Peat","waikato","wrc","",-37.8875509617665,175.304396992547,"14-Aug-2020"
"37270","lake rotomanuka at lake centre (surface)","ew-00145","14428","Stratified","Peat","waikato","wrc","",-37.9250484408421,175.316238028704,"14-Aug-2020"
"37312","lake serpentine at south (surface)","ew-00150","14425","Stratified","Peat","waikato","wrc","",-37.9502408388723,175.318212692176,"14-Aug-2020"
"37322","lake serpentine at north (surface)","ew-00149","14426","Stratified","Peat","waikato","wrc","",-37.9421138388816,175.319072335233,"14-Aug-2020"
"37415","lake waahi at centre (surface)","ew-00146","41314","Polymictic","Riverine","waikato","wrc","",-37.5710680195103,175.123325592868,"14-Aug-2020"
"37477","lake waikare at epilimnion","ew-00151","50782","Polymictic","Riverine","waikato","wrc","",-37.4304013662937,175.217390589862,"14-Aug-2020"
"37499","lake whangape at centre - buoy (surface)","ew-00147","49180","Polymictic","Riverine","waikato","wrc","",-37.463253387976,175.057851281934,"14-Aug-2020"
"37039","lake areare at centre-surface","lawa-102304","15034","Stratified","Peat","waikato","wrc","",-37.668058517752,175.201205185261,"14-Aug-2020"
"37048","lake hakanoa at centre (surface)","ew-00142","49200","Polymictic","Riverine","waikato","wrc","",-37.5532726818524,175.167758709539,"14-Aug-2020"
"37050","lake harihari at harihari a (surface)","ew-00144","12830","Stratified","Aeolian","waikato","wrc","",-38.2115780622915,174.722582722178,"14-Aug-2020"
"37097","lake mangakaware at lake centre","lawa-102305","14405","Stratified","Riverine","waikato","wrc","",-37.9333246950716,175.219767387423,"14-Aug-2020"
